track_name,latitude,longitude,color
AZT01: Huachuca Mtns,31.34519577,-110.2828002,#00AA00
AZT01: Huachuca Mtns,31.34526014,-110.28286457000002,#00AA00
AZT01: Huachuca Mtns,31.34532452,-110.28307914999999,#00AA00
AZT01: Huachuca Mtns,31.34541035,-110.28314352000001,#00AA00
AZT01: Huachuca Mtns,31.34558201,-110.28325081000003,#00AA00
AZT01: Huachuca Mtns,31.34586096,-110.28335809999999,#00AA00
AZT01: Huachuca Mtns,31.34622574,-110.28355121999999,#00AA00
AZT01: Huachuca Mtns,31.34635448,-110.28372288000003,#00AA00
AZT01: Huachuca Mtns,31.34652615,-110.28380871000002,#00AA00
AZT01: Huachuca Mtns,31.34684801,-110.28402327999999,#00AA00
AZT01: Huachuca Mtns,31.34738445,-110.28413057,#00AA00
AZT01: Huachuca Mtns,31.34753466,-110.28421639999999,#00AA00
AZT01: Huachuca Mtns,31.34764194,-110.28440952,#00AA00
AZT01: Huachuca Mtns,31.34796381,-110.28458118000003,#00AA00
AZT01: Huachuca Mtns,31.34835005,-110.28464556,#00AA00
AZT01: Huachuca Mtns,31.34869337,-110.28477429999998,#00AA00
AZT01: Huachuca Mtns,31.3493371,-110.28522491000001,#00AA00
AZT01: Huachuca Mtns,31.34950876,-110.28522491000001,#00AA00
AZT01: Huachuca Mtns,31.34978771,-110.28526783000001,#00AA00
AZT01: Huachuca Mtns,31.34985209,-110.28533219999997,#00AA00
AZT01: Huachuca Mtns,31.35002374999999,-110.28539658,#00AA00
AZT01: Huachuca Mtns,31.35058165,-110.28541803000002,#00AA00
AZT01: Huachuca Mtns,31.35255575,-110.28479576000001,#00AA00
AZT01: Huachuca Mtns,31.35388613,-110.28481721999998,#00AA00
AZT01: Huachuca Mtns,31.35431528,-110.28520345999999,#00AA00
AZT01: Huachuca Mtns,31.3552165,-110.28546095000002,#00AA00
AZT01: Huachuca Mtns,31.35620356,-110.28646946000003,#00AA00
AZT01: Huachuca Mtns,31.35691166,-110.28672695,#00AA00
AZT01: Huachuca Mtns,31.35738373,-110.28726339000002,#00AA00
AZT01: Huachuca Mtns,31.35761976,-110.28812170000003,#00AA00
AZT01: Huachuca Mtns,31.3581562,-110.28842211,#00AA00
AZT01: Huachuca Mtns,31.35869265,-110.2890873,#00AA00
AZT01: Huachuca Mtns,31.3593833,-110.28813330000003,#00AA00
AZT01: Huachuca Mtns,31.36047363,-110.28741359999998,#00AA00
AZT01: Huachuca Mtns,31.35974407,-110.28573990000001,#00AA00
AZT01: Huachuca Mtns,31.35978699,-110.28445244,#00AA00
AZT01: Huachuca Mtns,31.3609457,-110.28470993000002,#00AA00
AZT01: Huachuca Mtns,31.36255503,-110.28614758999998,#00AA00
AZT01: Huachuca Mtns,31.36294127,-110.28576135999998,#00AA00
AZT01: Huachuca Mtns,31.36272669,-110.28619050999998,#00AA00
AZT01: Huachuca Mtns,31.36307001,-110.28591155999999,#00AA00
AZT01: Huachuca Mtns,31.36343479,-110.28597593,#00AA00
AZT01: Huachuca Mtns,31.36307001,-110.28623342999998,#00AA00
AZT01: Huachuca Mtns,31.36341333,-110.28625488,#00AA00
AZT01: Huachuca Mtns,31.36352062,-110.28651236999997,#00AA00
AZT01: Huachuca Mtns,31.36397123,-110.28672695,#00AA00
AZT01: Huachuca Mtns,31.36523724,-110.28672695,#00AA00
AZT01: Huachuca Mtns,31.36549473,-110.28636217000002,#00AA00
AZT01: Huachuca Mtns,31.36560202,-110.28672695,#00AA00
AZT01: Huachuca Mtns,31.36532307,-110.28709172999999,#00AA00
AZT01: Huachuca Mtns,31.36579514,-110.28670549000003,#00AA00
AZT01: Huachuca Mtns,31.36598825,-110.28554678,#00AA00
AZT01: Huachuca Mtns,31.36633158,-110.28516053999999,#00AA00
AZT01: Huachuca Mtns,31.36731863,-110.28468846999999,#00AA00
AZT01: Huachuca Mtns,31.367383,-110.2835083,#00AA00
AZT01: Huachuca Mtns,31.36716843,-110.28288602999999,#00AA00
AZT01: Huachuca Mtns,31.36746883,-110.28284310999999,#00AA00
AZT01: Huachuca Mtns,31.36772633,-110.28318644000001,#00AA00
AZT01: Huachuca Mtns,31.36841297,-110.28335809999999,#00AA00
AZT01: Huachuca Mtns,31.36882067,-110.28428078000002,#00AA00
AZT01: Huachuca Mtns,31.36871338,-110.28438806999998,#00AA00
AZT01: Huachuca Mtns,31.36897087,-110.28509616999997,#00AA00
AZT01: Huachuca Mtns,31.36952877,-110.28541803000002,#00AA00
AZT01: Huachuca Mtns,31.36982918,-110.28580426999997,#00AA00
AZT01: Huachuca Mtns,31.37083769,-110.28634070999999,#00AA00
AZT01: Huachuca Mtns,31.37158871,-110.28715611000001,#00AA00
AZT01: Huachuca Mtns,31.37330532,-110.28709172999999,#00AA00
AZT01: Huachuca Mtns,31.37390614,-110.28676987,#00AA00
AZT01: Huachuca Mtns,31.37431383,-110.28734922000001,#00AA00
