distance_miles,latitude,longitude,elevation_m
96.58,37.941179,-107.163612,3351.0
97.03,37.940128,-107.155566,3368.0
97.42,37.940066,-107.14834,3441.0
97.72,37.937988,-107.143494,3539.0
98.1,37.935457,-107.137196,3621.0
98.39,37.933794,-107.132293,3705.0
99.27,37.936163,-107.116576,3744.0
100.63,37.938169,-107.0916,3738.0
101.46,37.938893,-107.076443,3748.0
101.78,37.942917,-107.073313,3766.0
102.05,37.946787,-107.073635,3834.0
102.3,37.94981,-107.071068,3827.0
102.55,37.95332,-107.071588,3796.0
102.73,37.955826,-107.070542,3884.0
102.93,37.956135,-107.066763,3846.0
103.17,37.954754,-107.06283,3861.0
103.43,37.952563,-107.059007,3900.0
103.61,37.950814,-107.056492,3880.0
103.76,37.949456,-107.054276,3882.0
103.95,37.951545,-107.052039,3835.0
104.11,37.951799,-107.049101,3780.0
104.32,37.950185,-107.045786,3738.0
104.49,37.94945,-107.042942,3746.0
104.66,37.95078,-107.040312,3745.0
104.86,37.951952,-107.036903,3705.0
105.05,37.954336,-107.035068,3681.0
105.23,37.956425,-107.033068,3655.0
105.39,37.957644,-107.030591,3634.0
105.62,37.960975,-107.029731,3603.0
105.83,37.963275,-107.027276,3606.0
105.93,37.963025,-107.025559,3553.0
106.05,37.962129,-107.023679,3516.0
106.22,37.960948,-107.020827,3488.0
106.51,37.957445,-107.018062,3553.0
106.71,37.959142,-107.015017,3594.0
106.85,37.959583,-107.012394,3661.0
106.99,37.959813,-107.010002,3705.0
107.17,37.962404,-107.009467,3665.0
107.4,37.963604,-107.005425,3557.0
107.57,37.96293,-107.002406,3591.0
107.8,37.964393,-106.998763,3636.0
107.97,37.964505,-106.995611,3674.0
108.13,37.964736,-106.992615,3694.0
108.23,37.966185,-106.992202,3754.0
108.38,37.968334,-106.992757,3809.0
108.51,37.970036,-106.992042,3829.0
108.64,37.9706,-106.98963,3892.0
108.8,37.970872,-106.986813,3906.0
109.01,37.969025,-106.983623,3890.0
109.22,37.968505,-106.979955,3807.0
109.41,37.9682,-106.976439,3757.0
109.59,37.967872,-106.973156,3703.0
109.7,37.96942,-106.973498,3672.0
109.83,37.971341,-106.973949,3639.0
109.98,37.972048,-106.971343,3641.0
110.13,37.972196,-106.968686,3688.0
110.28,37.97217,-106.965929,3720.0
110.45,37.970682,-106.963286,3772.0
111.0,37.967675,-106.954078,3663.0
111.85,37.966427,-106.938432,3765.0
112.84,37.972664,-106.922085,3824.0
114.23,37.974612,-106.896715,3541.0
115.82,37.979035,-106.867886,3376.0
118.15,37.994893,-106.83024,3207.0
120.33,38.026349,-106.834692,3156.0
122.84,38.05651,-106.808766,3063.0
126.34,38.101278,-106.778462,2961.0
128.06,38.11732,-106.754279,3012.0
130.19,38.12411,-106.716086,2967.0
132.33,38.147354,-106.689925,2853.0
134.9,38.147788,-106.642575,2931.0
136.3,38.155813,-106.618771,2953.0
136.93,38.164561,-106.615706,2979.0
139.08,38.194465,-106.604306,3096.0
139.81,38.203845,-106.598083,2961.0
