distance_miles,latitude,longitude,elevation_m
652.71,37.659983,-107.281475,3611.0
654.75,37.666028,-107.31808,3299.0
658.46,37.666533,-107.385938,3762.0
661.08,37.645072,-107.425644,3776.0
662.17,37.640228,-107.444503,3666.0
663.33,37.651346,-107.460642,3542.0
664.29,37.658343,-107.47583,3706.0
664.94,37.667705,-107.476856,3608.0
666.26,37.6807,-107.494434,3730.0
667.29,37.688173,-107.510886,3603.0
668.53,37.705341,-107.517322,3803.0
669.61,37.719833,-107.524886,3692.0
671.64,37.741348,-107.550175,3848.0
673.36,37.765917,-107.555316,3734.0
674.95,37.788323,-107.547994,3804.0
676.35,37.80441,-107.53235,3896.0
680.37,37.84615,-107.480923,3842.0
685.16,37.847859,-107.393114,3714.0
687.08,37.857923,-107.360136,3838.0
687.91,37.859671,-107.345055,4046.0
692.12,37.905628,-107.294243,3740.0
699.73,37.941015,-107.161897,3341.0
701.07,37.935796,-107.138171,3608.0
704.12,37.938478,-107.08228,3749.0
705.2,37.95146,-107.071016,3815.0
705.74,37.954183,-107.061697,3887.0
706.31,37.951874,-107.05179,3825.0
706.93,37.950629,-107.040434,3745.0
707.61,37.957395,-107.031443,3655.0
708.12,37.962365,-107.024369,3544.0
708.72,37.959334,-107.01404,3630.0
709.29,37.963433,-107.004909,3553.0
709.97,37.964742,-106.992578,3694.0
710.4,37.970552,-106.99001,3874.0
711.07,37.96828,-106.97785,3784.0
711.43,37.971511,-106.972676,3639.0
711.99,37.970208,-106.962548,3772.0
715.66,37.975832,-106.895409,3560.0
722.74,38.052799,-106.809537,3087.0
731.42,38.137811,-106.691685,2875.0
736.95,38.178793,-106.604033,3069.0
741.91,38.240369,-106.556964,3171.0
742.35,38.246681,-106.557399,3330.0
742.93,38.253233,-106.550519,3364.0
743.63,38.260416,-106.541607,3274.0
744.29,38.267214,-106.53281,3277.0
745.03,38.277268,-106.528545,3344.0
745.7,38.284952,-106.520802,3396.0
746.44,38.295488,-106.518272,3313.0
749.21,38.314308,-106.473226,3585.0
754.45,38.28833,-106.382194,3572.0
761.05,38.347321,-106.286327,3286.0
764.92,38.394646,-106.247888,3319.0
766.42,38.415668,-106.255012,3500.0
768.83,38.447912,-106.272197,3623.0
771.33,38.473815,-106.304587,3582.0
773.61,38.495809,-106.336072,3491.0
776.43,38.533591,-106.355724,3673.0
778.09,38.557139,-106.348643,3783.0
779.08,38.553933,-106.330818,3481.0
780.19,38.565576,-106.316783,3242.0
783.31,38.602961,-106.349418,3625.0
787.61,38.649228,-106.402934,3506.0
790.96,38.697166,-106.41234,3553.0
794.58,38.749652,-106.412666,3689.0
798.27,38.802892,-106.419149,3804.0
800.61,38.83443,-106.403323,3663.0
803.64,38.876269,-106.42049,3065.0
806.59,38.893845,-106.4705,3387.0
807.81,38.911518,-106.471111,3703.0
810.63,38.95179,-106.461786,3246.0
815.55,39.007548,-106.404584,3451.0
816.69,39.024083,-106.4039,3658.0
821.23,39.077359,-106.354135,2808.0
823.41,39.090338,-106.317156,2815.0
827.72,39.107424,-106.39456,3234.0
830.98,39.150758,-106.418729,3077.0
836.5,39.230813,-106.421154,3248.0
839.8,39.27651,-106.439138,3079.0
841.03,39.293963,-106.433902,3384.0
