distance_miles,latitude,longitude,elevation_m
160.61,32.855537,-110.864754,1231.0
161.84,32.870579,-110.876255,1215.0
162.68,32.873304,-110.890396,1216.0
164.27,32.887573,-110.91181,1190.0
165.43,32.900276,-110.925136,1175.0
166.47,32.903645,-110.942602,1145.0
167.64,32.913387,-110.959039,1110.0
168.6,32.926219,-110.965476,1102.0
169.5,32.939308,-110.966806,1072.0
170.49,32.953513,-110.964832,1065.0
171.62,32.967546,-110.97496,1055.0
172.87,32.983232,-110.985539,1016.0
174.1,33.00029,-110.991912,1020.0
175.04,33.011556,-111.000903,980.0
175.81,33.017993,-110.989959,916.0
176.79,33.030825,-110.982535,854.0
177.56,33.038957,-110.973587,948.0
177.91,33.043957,-110.972471,1073.0
178.47,33.052068,-110.97172,1036.0
179.16,33.061101,-110.977042,960.0
179.73,33.065608,-110.985196,838.0
180.48,33.076444,-110.986161,740.0
181.05,33.084512,-110.988028,669.0
181.48,33.09082,-110.988822,652.0
181.99,33.096356,-110.983028,594.0
182.47,33.101335,-110.977235,590.0
182.82,33.10627,-110.97816,550.0
183.45,33.11298,-110.98567,625.0
184.19,33.10562,-110.99494,642.0
184.97,33.10759,-111.00825,560.0
185.74,33.11708,-111.01531,603.0
186.45,33.11497,-111.02732,543.0
187.26,33.11438,-111.04125,573.0
187.75,33.11651,-111.04939,584.0
188.33,33.11632,-111.05936,570.0
189.19,33.1192,-111.07386,526.0
190.15,33.11602,-111.09013,536.0
191.0,33.11033,-111.1032,528.0
191.82,33.1057,-111.11618,519.0
192.68,33.10751,-111.13097,526.0
193.55,33.11263,-111.14462,508.0
194.28,33.12317,-111.1431,626.0
195.01,33.13359,-111.14055,698.0
195.64,33.14254,-111.13911,764.0
196.22,33.15091,-111.13999,843.0
196.75,33.15779,-111.14414,911.0
197.08,33.16211,-111.14678,1020.0
197.47,33.16451,-111.14074,1022.0
198.15,33.17334,-111.13555,1038.0
198.97,33.18455,-111.14009,1142.0
199.87,33.19745,-111.13764,1110.0
201.02,33.21385,-111.14112,992.0
201.76,33.21645,-111.15368,1009.0
202.19,33.22254,-111.15213,997.0
203.27,33.2378,-111.15582,943.0
203.55,33.24095,-111.15895,917.0
204.02,33.24705,-111.16252,844.0
204.59,33.25267,-111.16986,794.0
205.08,33.25964,-111.17061,800.0
205.54,33.26539,-111.17466,742.0
206.09,33.273125,-111.177499,728.0
206.6,33.276472,-111.185288,742.0
207.17,33.281558,-111.177564,721.0
207.98,33.292758,-111.173058,775.0
208.75,33.302007,-111.165526,811.0
209.64,33.313143,-111.157951,826.0
210.61,33.324966,-111.148682,817.0
212.06,33.340588,-111.131859,864.0
213.25,33.357732,-111.132631,911.0
215.72,33.392923,-111.14042,1132.0
216.15,33.398552,-111.143959,1312.0
216.46,33.399832,-111.149055,1452.0
216.69,33.400927,-111.152866,1586.0
217.6,33.412235,-111.16087,1605.0
218.29,33.416226,-111.171856,1549.0
219.03,33.426354,-111.176319,1456.0
220.53,33.447919,-111.178486,1511.0
221.34,33.458004,-111.171319,1585.0
222.13,33.468604,-111.166127,1546.0
222.91,33.478367,-111.159153,1525.0
223.88,33.492229,-111.156428,1486.0
