distance_miles,latitude,longitude,elevation_m
362.49,37.099249,-81.223528,960.0
365.21,37.118235,-81.18013,886.0
368.61,37.140252,-81.124962,861.0
372.04,37.131238,-81.06355,945.0
375.72,37.154006,-81.003106,868.0
378.29,37.155011,-80.956329,733.0
381.37,37.168276,-80.902856,666.0
383.78,37.197961,-80.87977,743.0
387.13,37.223964,-80.828414,791.0
388.65,37.244014,-80.840167,1173.0
389.88,37.261517,-80.83663,1194.0
393.74,37.295551,-80.78087,1045.0
396.53,37.330515,-80.755261,626.0
398.75,37.362377,-80.749943,774.0
399.75,37.374523,-80.759931,1014.0
402.65,37.392011,-80.711882,1015.0
405.42,37.412573,-80.668356,1000.0
408.73,37.435741,-80.61559,1140.0
411.57,37.403509,-80.583168,906.0
416.33,37.417186,-80.498028,1239.0
419.2,37.384117,-80.466489,691.0
421.84,37.354746,-80.435483,1119.0
424.32,37.353907,-80.390309,654.0
427.14,37.356599,-80.338981,1026.0
431.24,37.390772,-80.277853,861.0
433.62,37.367123,-80.246294,610.0
436.29,37.380049,-80.200303,739.0
437.41,37.387892,-80.182474,727.0
439.24,37.36286,-80.171525,874.0
441.08,37.357274,-80.138773,542.0
444.49,37.382128,-80.08505,644.0
447.3,37.391517,-80.03516,946.0
450.62,37.428063,-79.995804,796.0
451.81,37.432523,-79.974671,665.0
453.99,37.412402,-79.944056,538.0
456.37,37.38231,-79.923009,534.0
458.75,37.40282,-79.888076,447.0
460.62,37.398916,-79.854239,780.0
463.19,37.417629,-79.813682,558.0
465.25,37.421181,-79.776351,621.0
468.97,37.450308,-79.719348,684.0
472.67,37.485591,-79.668423,696.0
476.27,37.528943,-79.631712,495.0
479.13,37.52525,-79.579777,575.0
481.87,37.50394,-79.537384,1021.0
484.19,37.525218,-79.504626,1195.0
487.62,37.558323,-79.457846,761.0
489.94,37.590425,-79.445239,699.0
492.97,37.59451,-79.390069,193.0
495.65,37.633351,-79.39178,876.0
499.75,37.674688,-79.338075,786.0
503.21,37.668612,-79.275032,318.0
506.08,37.709776,-79.268486,444.0
508.41,37.731426,-79.235605,1010.0
510.58,37.751293,-79.204921,1215.0
513.3,37.784317,-79.177464,1068.0
516.22,37.821781,-79.152659,1162.0
520.41,37.821389,-79.075768,1127.0
523.14,37.835725,-79.029017,433.0
524.94,37.843501,-78.99764,768.0
527.9,37.886243,-78.992245,860.0
530.56,37.92085,-78.970873,775.0
534.11,37.945446,-78.91343,1015.0
535.81,37.962849,-78.891484,764.0
537.42,37.985287,-78.883512,526.0
539.99,38.020037,-78.866189,573.0
543.24,38.056362,-78.828042,768.0
545.65,38.07828,-78.793717,880.0
547.77,38.107112,-78.77985,720.0
549.75,38.135702,-78.77927,907.0
552.7,38.177412,-78.767166,811.0
555.23,38.210487,-78.747035,739.0
558.55,38.245936,-78.705454,874.0
561.07,38.254041,-78.660149,946.0
562.3,38.27186,-78.661506,837.0
564.04,38.2904,-78.639959,796.0
565.85,38.305251,-78.612345,840.0
568.19,38.325864,-78.578024,839.0
570.03,38.337514,-78.547388,1013.0
572.1,38.364547,-78.530861,893.0
574.3,38.389952,-78.506175,977.0
576.89,38.42335,-78.484421,959.0
579.57,38.45807,-78.462306,1012.0
582.54,38.497427,-78.440056,1024.0
584.9,38.531286,-78.433186,1026.0
587.86,38.556356,-78.388838,1050.0
590.21,38.589943,-78.380873,1132.0
592.29,38.614514,-78.358813,974.0
594.48,38.632683,-78.325331,1003.0
596.2,38.657044,-78.319361,762.0
598.56,38.691179,-78.316414,831.0
600.85,38.723963,-78.323626,791.0
603.08,38.746837,-78.294461,922.0
604.86,38.759355,-78.265478,973.0
607.63,38.77357,-78.21737,963.0
610.43,38.802201,-78.180397,793.0
613.01,38.8367,-78.162066,756.0
614.78,38.862389,-78.163604,348.0
617.02,38.878947,-78.127804,434.0
619.34,38.889686,-78.086814,445.0
621.5,38.908075,-78.054215,255.0
623.98,38.941046,-78.035987,580.0
626.34,38.966367,-78.006527,563.0
628.36,38.993229,-77.991527,567.0
631.56,39.031631,-77.958159,354.0
633.46,39.055144,-77.939684,318.0
635.35,39.072123,-77.911935,323.0
637.17,39.090919,-77.887989,318.0
639.74,39.115895,-77.852569,302.0
641.87,39.142696,-77.832658,362.0
644.0,39.168367,-77.810548,483.0
646.69,39.205218,-77.793992,441.0
649.87,39.246755,-77.768274,387.0
653.88,39.301141,-77.742151,319.0
655.35,39.322552,-77.742636,144.0
658.62,39.332919,-77.682859,118.0
661.54,39.369716,-77.655912,301.0
665.53,39.42603,-77.63875,436.0
668.2,39.463846,-77.628319,326.0
670.53,39.49638,-77.616474,412.0
673.16,39.534001,-77.608511,398.0
676.18,39.575186,-77.589416,489.0
679.25,39.617435,-77.571734,538.0
681.57,39.640746,-77.540195,518.0
683.56,39.668905,-77.532182,510.0
685.46,39.696258,-77.527824,384.0
688.58,39.73113,-77.490321,478.0
693.04,39.795412,-77.482434,276.0
696.58,39.8436,-77.505663,488.0
700.94,39.90553,-77.489594,291.0
705.96,39.975872,-77.465729,628.0
711.28,40.017652,-77.381129,576.0
715.08,40.035187,-77.312919,338.0
720.28,40.057738,-77.219078,336.0
724.26,40.092298,-77.158526,222.0
727.02,40.109051,-77.111084,366.0
730.58,40.160146,-77.11972,173.0
735.73,40.234301,-77.108472,142.0
739.29,40.284639,-77.093686,146.0
743.1,40.33965,-77.101176,401.0
749.34,40.39588,-77.008387,103.0
751.12,40.399946,-76.974815,425.0
756.55,40.426132,-76.87743,352.0
762.11,40.453683,-76.778069,227.0
768.77,40.478177,-76.655327,435.0
774.01,40.499535,-76.559545,322.0
778.0,40.49433,-76.483691,447.0
784.32,40.51024,-76.365055,431.0
788.56,40.508772,-76.284349,452.0
793.94,40.532949,-76.186784,495.0
798.25,40.556166,-76.11046,426.0
802.69,40.574876,-76.02953,280.0
806.79,40.587091,-75.952918,317.0
809.08,40.60752,-75.918508,493.0
811.4,40.617443,-75.960729,298.0
815.62,40.6669,-75.913137,500.0
820.74,40.701061,-75.826362,426.0
826.43,40.747069,-75.736088,461.0
831.91,40.781765,-75.641673,422.0
834.68,40.792812,-75.590698,442.0
837.85,40.807773,-75.533311,335.0
843.42,40.822319,-75.428453,477.0
849.5,40.855467,-75.320625,459.0
854.18,40.897936,-75.250811,509.0
859.98,40.948331,-75.161676,390.0
862.03,40.971799,-75.137649,179.0
864.87,40.996038,-75.093567,405.0
868.84,41.019947,-75.024119,452.0
871.73,41.043411,-74.978254,462.0
874.94,41.075164,-74.933008,433.0
878.77,41.118743,-74.887452,463.0
881.9,41.1489,-74.842437,422.0
885.81,41.180087,-74.779671,390.0
890.73,41.227622,-74.709178,438.0
894.15,41.272941,-74.682554,436.0
897.16,41.314587,-74.664958,516.0
899.99,41.318175,-74.610482,249.0
904.0,41.287976,-74.544563,193.0
907.55,41.249663,-74.498648,228.0
911.08,41.215248,-74.448374,195.0
914.32,41.201715,-74.388535,362.0
918.12,41.210645,-74.316446,382.0
